TEAM,COLLEGE,NAME,COLLEGE_NAME
Detroit Pistons,UNLV,Christian Wood,UNLVChristian Wood
New York Knicks,Oregon,Kenny Wooten,OregonKenny Wooten
Chicago Bulls,Georgia Tech,Thaddeus Young,Georgia TechThaddeus Young
Miami Heat,Tennessee,Kyle Alexander,TennesseeKyle Alexander
Memphis Grizzlies,UCLA,Kyle Anderson,UCLAKyle Anderson
Milwaukee Bucks,,Thanasis Antetokounmpo,Thanasis Antetokounmpo
Toronto Raptors,Indiana,OG Anunoby,IndianaOG Anunoby
Portland Trail Blazers,UCLA,Trevor Ariza,UCLATrevor Ariza
Sacramento Kings,North Carolina,Harrison Barnes,North CarolinaHarrison Barnes
Denver Nuggets,Memphis,Will Barton,MemphisWill Barton
Denver Nuggets,Ohio State,Keita Bates-Diop,Ohio StateKeita Bates-Diop
Oklahoma City Thunder,,Darius Bazley,Darius Bazley
Washington Wizards,,Davis Bertans,Davis Bertans
Utah Jazz,,Bojan Bogdanovic,Bojan Bogdanovic
Washington Wizards,,Isaac Bonga,Isaac Bonga
New York Knicks,Michigan,Ignas Brazdeikis,MichiganIgnas Brazdeikis
Phoenix Suns,Villanova,Mikal Bridges,VillanovaMikal Bridges
Charlotte Hornets,Michigan State,Miles Bridges,Michigan StateMiles Bridges
Toronto Raptors,Syracuse,Oshae Brissett,SyracuseOshae Brissett
Washington Wizards,Oregon, Troy Brown Jr.,Oregon Troy Brown Jr.
New York Knicks,North Carolina,Reggie Bullock,North CarolinaReggie Bullock
Miami Heat,Marquette,Jimmy Butler,MarquetteJimmy Butler
Houston Rockets,,Bruno Caboclo,Bruno Caboclo
Denver Nuggets,,Vlatko Cancar,Vlatko Cancar
Houston Rockets,Missouri,DeMarre Carroll,MissouriDeMarre Carroll
Brooklyn Nets,DePaul,Wilson Chandler,DePaulWilson Chandler
New Orleans Pelicans,Arizona State,Zylan Cheatham,Arizona StateZylan Cheatham
Memphis Grizzlies,Gonzaga,Brandon Clarke,GonzagaBrandon Clarke
Denver Nuggets,USC Upstate,Torrey Craig,USC UpstateTorrey Craig
Miami Heat,Marquette,Jae Crowder,MarquetteJae Crowder
San Antonio Spurs,USC,DeMar DeRozan,USCDeMar DeRozan
Detroit Pistons,,Sekou Doumbouya,Sekou Doumbouya
Los Angeles Lakers,Boston College,Jared Dudley,Boston CollegeJared Dudley
Brooklyn Nets,Texas,Kevin Durant,TexasKevin Durant
Orlando Magic,Long Beach State, James Ennis III,Long Beach State James Ennis III
Oklahoma City Thunder,,Terrance Ferguson,Terrance Ferguson
Dallas Mavericks,Florida,Dorian Finney-Smith,FloridaDorian Finney-Smith
San Antonio Spurs,Connecticut,Rudy Gay,ConnecticutRudy Gay
New York Knicks,St. John's,Maurice Harkless,St. John'sMaurice Harkless
Brooklyn Nets,Virginia,Joe Harris,VirginiaJoe Harris
Philadelphia 76ers,Tennessee,Tobias Harris,TennesseeTobias Harris
New Orleans Pelicans,Villanova,Josh Hart,VillanovaJosh Hart
Boston Celtics,Butler,Gordon Hayward,ButlerGordon Hayward
Portland Trail Blazers,,Mario Hezonja,Mario Hezonja
Miami Heat,Arizona,Solomon Hill,ArizonaSolomon Hill
Portland Trail Blazers,Wake Forest,Jaylen Hoard,Wake ForestJaylen Hoard
Indiana Pacers,Washington,Justin Holiday,WashingtonJustin Holiday
Toronto Raptors,Arizona,Rondae Hollis-Jefferson,ArizonaRondae Hollis-Jefferson
Portland Trail Blazers,Duke,Rodney Hood,DukeRodney Hood
Houston Rockets,Texas A&M, Danuel House Jr.,Texas A&M Danuel House Jr.
Atlanta Hawks,Virginia,De'Andre Hunter,VirginiaDe'Andre Hunter
Chicago Bulls,Boise State,Chandler Hutchison,Boise StateChandler Hutchison
New Orleans Pelicans,Duke,Brandon Ingram,DukeBrandon Ingram
Orlando Magic,Kansas State,Wes Iwundu,Kansas StateWes Iwundu
Dallas Mavericks,North Carolina,Justin Jackson,North CarolinaJustin Jackson
Los Angeles Lakers,,LeBron James,LeBron James
Orlando Magic,La Salle,BJ Johnson,La SalleBJ Johnson
Phoenix Suns,North Carolina,Cameron Johnson,North CarolinaCameron Johnson
San Antonio Spurs,Kentucky,Keldon Johnson,KentuckyKeldon Johnson
Toronto Raptors,Arizona,Stanley Johnson,ArizonaStanley Johnson
Miami Heat,UNLV, Derrick Jones Jr.,UNLV Derrick Jones Jr.
Dallas Mavericks,Kentucky,Michael Kidd-Gilchrist,KentuckyMichael Kidd-Gilchrist
Detroit Pistons,Oregon,Louis King,OregonLouis King
New York Knicks,Kentucky, Kevin Knox II,Kentucky Kevin Knox II
Brooklyn Nets,,Rodions Kurucs,Rodions Kurucs
Orlando Magic,Northwestern,Vic Law,NorthwesternVic Law
Minnesota Timberwolves,Maryland,Jake Layman,MarylandJake Layman
LA Clippers,San Diego State,Kawhi Leonard,San Diego StateKawhi Leonard
Portland Trail Blazers,North Carolina,Nassir Little,North CarolinaNassir Little
Charlotte Hornets,Nevada,Caleb Martin,NevadaCaleb Martin
Charlotte Hornets,Nevada,Cody Martin,NevadaCody Martin
Minnesota Timberwolves,Butler,Kelan Martin,ButlerKelan Martin
Toronto Raptors,UNLV,Patrick McCaw,UNLVPatrick McCaw
Indiana Pacers,Creighton,Doug McDermott,CreightonDoug McDermott
Cleveland Cavaliers,Green Bay,Alfonzo McKinnie,Green BayAlfonzo McKinnie
Houston Rockets,Kansas,Ben McLemore,KansasBen McLemore
Milwaukee Bucks,Texas A&M,Khris Middleton,Texas A&MKhris Middleton
New Orleans Pelicans,Kentucky,Darius Miller,KentuckyDarius Miller
Utah Jazz,Indiana,Juwan Morgan,IndianaJuwan Morgan
LA Clippers,Kansas,Sr. Marcus Morris,KansasSr. Marcus Morris
